phase,client_observed_ms,server_internal_ms,socket_transfer_overhead_ms,status,decision,reason_code
warmup,5.462,2.000,3.462,200,ALLOW,OK_ALLOW
warmup,5.204,2.000,3.204,200,ALLOW,OK_ALLOW
warmup,4.911,2.000,2.911,200,ALLOW,OK_ALLOW
warmup,3.558,1.000,2.558,200,ALLOW,OK_ALLOW
warmup,3.660,1.000,2.660,200,ALLOW,OK_ALLOW
warmup,3.622,1.000,2.622,200,ALLOW,OK_ALLOW
warmup,3.582,1.000,2.582,200,ALLOW,OK_ALLOW
warmup,3.547,1.000,2.547,200,ALLOW,OK_ALLOW
warmup,3.687,1.000,2.687,200,ALLOW,OK_ALLOW
warmup,3.470,2.000,1.470,200,ALLOW,OK_ALLOW
warmup,2.935,1.000,1.935,200,ALLOW,OK_ALLOW
warmup,3.120,1.000,2.120,200,ALLOW,OK_ALLOW
warmup,3.278,1.000,2.278,200,ALLOW,OK_ALLOW
warmup,3.716,1.000,2.716,200,ALLOW,OK_ALLOW
warmup,4.354,1.000,3.354,200,ALLOW,OK_ALLOW
warmup,4.587,1.000,3.587,200,ALLOW,OK_ALLOW
warmup,4.661,2.000,2.661,200,ALLOW,OK_ALLOW
warmup,4.504,2.000,2.504,200,ALLOW,OK_ALLOW
warmup,4.548,1.000,3.548,200,ALLOW,OK_ALLOW
warmup,3.562,1.000,2.562,200,ALLOW,OK_ALLOW
warmup,5.482,2.000,3.482,200,ALLOW,OK_ALLOW
warmup,3.070,2.000,1.070,200,ALLOW,OK_ALLOW
warmup,4.810,2.000,2.810,200,ALLOW,OK_ALLOW
warmup,4.786,2.000,2.786,200,ALLOW,OK_ALLOW
warmup,4.101,2.000,2.101,200,ALLOW,OK_ALLOW
warmup,3.675,1.000,2.675,200,ALLOW,OK_ALLOW
